Packet Count,Pkts_per_sec,Total Length,Bytes_per_sec,Norm Avg Interval,Norm Max Interval,Norm Min Interval,Avg Length (bytes),Max Length (bytes),Min Length (bytes),Most Common Length (bytes),Label
1157,26.156206629330132,905918,20480.015900803366,-1.1539212492103162e-16,15.593646606713921,-0.12053908575515884,782.9887640449438,1434,86,1434,ChatGPT
1369,26.59772370890783,1009091,19605.2035172721,8.782164404404221e-17,27.25639002413928,-0.11008275075453966,737.1008035062089,1434,86,1434,ChatGPT
2057,14.18093823789826,1439098,9921.127786233792,-9.441755635005283e-17,22.104896576841814,-0.10421889556043168,699.6101118133204,1434,86,1434,ChatGPT
659,14.258248997449288,421478,9119.1779528785,-8.01874608591346e-17,12.714175448312183,-0.1761359443484349,639.5720789074355,1434,86,1434,ChatGPT
1582,11.849448960925416,847846,6350.510685034621,-6.767725743089783e-17,13.821244220511675,-0.23271709140567917,535.9329962073325,1434,86,86,ChatGPT
412,15.297862565562202,253578,9415.537363228475,5.064886061246152e-18,7.615171153687331,-0.2036180260402351,615.4805825242719,1434,86,1434,ChatGPT
1502,43.41598094275461,1157428,33455.973362590266,1.8657811989453413e-17,19.175159900401976,-0.13851668272678352,770.5912117177097,1434,86,1434,ChatGPT
1587,22.111716584807333,1087830,15156.76663670508,1.4238295284284794e-16,23.99417747801687,-0.16654248347673228,685.4631379962193,1434,86,1434,ChatGPT
1982,58.13666816056198,973849,28565.255374114593,3.0211684856123485e-16,18.22603326790737,-0.21801510453824124,491.3466195761857,1434,86,86,ChatGPT
512,12.06489471223235,304259,7169.634375486528,-1.906498442482534e-17,17.15632281258774,-0.12072518737228224,594.255859375,1434,86,86,ChatGPT
927,50.26712339797946,762014,41320.65994497079,-1.541243734509329e-16,26.06473330419218,-0.11297758732205165,822.0215749730313,1434,86,1434,ChatGPT
3537,77.80742931820893,1481954,32600.234975356798,4.085627010162571e-17,36.97721829297589,-0.16909145303977555,418.9861464517953,1434,86,86,ChatGPT
1104,29.953382606466842,858374,23289.13482014798,8.488978634571545e-17,29.308692555329607,-0.09595878907400568,777.5126811594203,1434,86,1434,ChatGPT
1313,30.366261284402192,953966,22062.742431405957,1.7626482929071654e-16,14.397827196901945,-0.18494650047422798,726.5544554455446,1434,86,1434,ChatGPT
1042,54.8129822602149,832833,43810.03882410898,1.5893466498056096e-16,13.73939912400371,-0.2006441100078466,799.2639155470249,1434,86,1434,ChatGPT
1552,36.71275157815156,1170761,27694.495973188335,1.5783634876199035e-16,22.623264209046898,-0.13298343623674888,754.3563144329897,1434,86,1434,ChatGPT
1158,15.391398069270064,609851,8105.750866962364,1.8260625893359316e-16,16.210617840893768,-0.19705838220706967,526.6416234887738,1434,86,86,ChatGPT
867,10.231381210973534,573266,6765.055341741585,-1.2595775077300419e-17,22.587934300830682,-0.09259720239456568,661.20645905421,1434,86,1434,ChatGPT
733,15.169971982117232,408329,8450.667789203202,1.5508238287967522e-17,16.516656138669756,-0.1552936096064498,557.0654843110505,1434,86,86,ChatGPT
1221,34.993195385437865,964553,27643.56395463575,-2.3625227457417907e-16,18.147368344766505,-0.11571903139791535,789.969696969697,1434,86,1434,ChatGPT
1239,11.473838652361996,759424,7032.694467095526,5.3739995759824316e-17,27.35561683777835,-0.10361960011833117,612.9330104923325,1514,66,66,ChatGPT
1122,8.973515628357196,498032,3983.1532401265517,4.795945581398145e-17,26.874364919475134,-0.10433104969362902,443.8787878787879,1514,66,66,ChatGPT
1305,9.90740012412568,663579,5037.810472771796,8.967349698515692e-17,28.819726733280113,-0.12668025610742487,508.4896551724138,1514,66,66,ChatGPT
1255,6.688726103120298,605148,3225.2344413155715,9.008388577002367e-18,22.771170698632332,-0.11754178306416564,482.18964143426297,1514,66,66,ChatGPT
1152,7.395748831125008,617800,3966.2271075251997,9.76629724094675e-18,26.764307842202463,-0.129173344744181,536.2847222222222,1514,66,66,ChatGPT
4684,29.72456094780075,2562172,16259.487141918988,-5.102450362480233e-17,56.219961053043995,-0.07760549751267426,547.00512382579,1514,66,66,ChatGPT
931,8.581941865022445,418791,3860.408180015698,5.730183352904034e-18,14.099407723324905,-0.17847684856992693,449.82921589688505,1514,66,66,ChatGPT
1824,7.093798564348179,935951,3640.048168914607,1.0847969076322326e-17,31.02394807321995,-0.08534529920949693,513.1310307017544,1514,66,66,ChatGPT
1910,19.095177894726245,1437125,14367.621744480864,-1.8310101703269918e-16,27.650425289739744,-0.08441329289018648,752.4214659685864,1514,66,1454,ChatGPT
1328,5.0981467338304505,652603,2505.3206723930375,-4.915267723943327e-19,22.55976733925443,-0.10906043954548097,491.417921686747,1514,66,66,ChatGPT
