Packet Count,Pkts_per_sec,Total Length,Bytes_per_sec,Norm Avg Interval,Norm Max Interval,Norm Min Interval,Avg Length (bytes),Max Length (bytes),Min Length (bytes),Most Common Length (bytes),Label
808,21.39511678172323,803559,21277.523076738536,0.0,20.986569715379414,-0.10130770064491315,994.5037128712871,1514,74,1514,Wikipedia
1234,2.0740590831798977,1056001,1774.8853046167383,5.762714807462289e-18,19.07299588643826,-0.09306795364930452,855.7544570502431,1514,74,1514,Wikipedia
332,3.4678110053029516,352540,3682.355698221393,-1.0733273954080063e-17,18.09826341235555,-0.0638578301027355,1061.867469879518,1514,74,1514,Wikipedia
1025,0.9306733503770828,638214,579.4817186707897,-1.214306433183765e-17,19.39513378342274,-0.15457715111471232,622.6478048780488,1514,74,74,Wikipedia
2174,5.397438925657211,1736902,4312.2458439980965,1.3488213460701396e-17,26.78436620957432,-0.14061792792977226,798.9429622815087,1514,54,1514,Wikipedia
1788,1.4536146976933246,1134192,922.0795085045789,-3.97617647319586e-18,18.20368095057751,-0.14724201544910945,634.3355704697987,1514,66,1514,Wikipedia
114,1.026615474456015,67713,609.7825756301767,1.2281228148508369e-18,8.9753003668851,-0.20030654215006385,593.9736842105264,1514,74,74,Wikipedia
786,1.688632876485453,592867,1273.7082793680675,-1.3577249727900004e-17,12.372140480127173,-0.16517458835475846,754.2837150127226,1514,74,1514,Wikipedia
401,3.030010905470173,411863,3112.093220847037,4.440892098500626e-18,16.048295223375575,-0.1188587157029259,1027.0897755610972,1514,74,1514,Wikipedia
1128,1.878645155555641,908268,1512.6890763707543,0.0,31.85959061024174,-0.07010009696615957,805.2021276595744,1514,74,1514,Wikipedia
2277,4.430734347458958,1823145,3547.5938392174185,1.2487570048507911e-17,20.07729971323087,-0.13671564731973573,800.6785243741765,1514,74,1514,Wikipedia
633,2.545986079191654,513315,2064.6016496686634,-3.934967682215745e-17,13.199908060133442,-0.1449838086015249,810.9241706161138,1514,74,1514,Wikipedia
859,0.6307382578663623,604953,444.1990702107444,8.281383866667834e-18,21.788810824129953,-0.1169774654925982,704.2526193247962,1514,74,1514,Wikipedia
991,12.729934767883512,1182976,15195.971051434677,-3.5885996755560615e-18,22.12152191503346,-0.10850597372666283,1193.7194752774974,1514,74,1514,Wikipedia
524,1.7138734912655544,581464,1901.8239231397604,2.0378854754113773e-17,10.439655660686272,-0.13739343071338048,1109.6641221374045,1514,74,1514,Wikipedia
639,1.1548533557178493,516914,934.2094953326077,2.7842583689659096e-17,8.415493709573068,-0.1653266473388067,808.9420970266041,1514,74,1514,Wikipedia
957,1.7681014032352955,812437,1501.0146287777156,1.1148683092470191e-17,12.598619791807703,-0.1604977368428909,848.9414838035527,1514,74,1514,Wikipedia
2944,1.4289433539309484,2218080,1076.6000932361271,3.3197290576627176e-18,46.252571948477296,-0.09133842366470299,753.4239130434783,1514,74,1514,Wikipedia
2917,2.7790324760612313,2130609,2029.8359975277147,9.746813933609055e-18,15.1771761879637,-0.12234236959815357,730.4110387384299,1514,74,1514,Wikipedia
191,1.6492929912698517,114222,986.3117489467278,3.272236283105724e-17,7.928949784762174,-0.22259296951795782,598.020942408377,1514,74,74,Wikipedia
2152,2.0539020322860493,1930980,1842.9571311820239,1.6516567544400284e-17,14.44033669664122,-0.157963847774075,897.2955390334572,1514,74,1514,Wikipedia
680,1.5094925560406827,551932,1225.201831530362,2.3545230566424527e-17,10.19184534626604,-0.15246601610043695,811.6647058823529,1514,74,1514,Wikipedia
2139,3.1462507755585385,2129173,3131.7962611259,9.970197414781574e-18,18.006666854883782,-0.12810486663391066,995.4057971014493,1514,74,1514,Wikipedia
921,2.854837147721233,733800,2274.570574373334,-3.861645303044023e-18,17.18188709842795,-0.1484950049316264,796.742671009772,1514,74,1514,Wikipedia
1825,3.0236814816483286,1616505,2678.2445115024284,-1.3634317846273851e-17,20.49551944444347,-0.15180002631592313,885.7561643835617,1514,74,1514,Wikipedia
2968,2.2872740410317096,2528425,1948.5178123974395,-2.1553369133268965e-17,14.887357586074339,-0.14609264884572587,851.8952156334232,1514,74,1514,Wikipedia
1418,1.7880968716536547,1122809,1415.86125554624,5.014415919266762e-18,17.015862601892383,-0.14282207664511284,791.8258110014104,1514,74,1514,Wikipedia
1151,2.9229226787886984,928054,2356.7594124592238,7.723290606088046e-18,14.535995642682185,-0.17955091878158597,806.3023457862728,1514,74,1514,Wikipedia
1733,1.9984240103063973,1473202,1698.8356888813646,8.20488147528984e-18,14.267298410036135,-0.16047419129093346,850.0877091748413,1514,74,1514,Wikipedia
236,3.5103243324006432,174544,2596.2120774344826,3.7794826370218096e-18,9.490791103778808,-0.22308295187800553,739.5932203389831,1514,74,1514,Wikipedia
