"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.247.80","150.171.22.12","TCP","55","63447  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"2","0.011532","150.171.22.12","100.86.247.80","TCP","66","443  >  63447 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2"
"3","2.651806","100.86.247.80","150.171.22.12","TLSv1.2","407","Application Data"
"4","2.651976","100.86.247.80","150.171.22.12","TLSv1.2","93","Application Data"
"5","2.664343","150.171.22.12","100.86.247.80","TCP","56","443  >  63394 [ACK] Seq=1 Ack=393 Win=16382 Len=0"
"6","2.664343","150.171.22.12","100.86.247.80","TLSv1.2","93","Application Data"
"7","2.720039","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=393 Ack=40 Win=508 Len=0"
"8","2.802493","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=40 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 10]"
"9","2.806553","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=1500 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 10]"
"10","2.806553","150.171.22.12","100.86.247.80","TLSv1.2","245","Application Data"
"11","2.806553","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=3151 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 13]"
"12","2.806553","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=4611 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 13]"
"13","2.806553","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"14","2.806553","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=7278 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 16]"
"15","2.806553","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=8738 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 16]"
"16","2.806553","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"17","2.806553","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=11405 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 25]"
"18","2.806553","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=12865 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 25]"
"19","2.807135","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=393 Ack=2960 Win=511 Len=0"
"20","2.807379","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=393 Ack=4611 Win=511 Len=0"
"21","2.807506","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=393 Ack=7278 Win=511 Len=0"
"22","2.807658","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=393 Ack=10198 Win=511 Len=0"
"23","2.807780","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=393 Ack=12865 Win=511 Len=0"
"24","2.810927","100.86.247.80","150.171.22.12","TLSv1.2","89","Application Data"
"25","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"26","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=15532 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 28]"
"27","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=16992 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 28]"
"28","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","461","Application Data"
"29","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=18859 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 31]"
"30","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=20319 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 31]"
"31","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
