Packet Count,Total Length,Norm Avg Interval,Norm Max Interval,Norm Min Interval,Avg Length (bytes),Max Length (bytes),Min Length (bytes),Most Common Length (bytes),Label
1157,905918,-1.1539212492103162e-16,15.593646606713921,-0.12053908575515884,782.9887640449438,1434,86,1434,ChatGPT
1369,1009091,8.782164404404221e-17,27.25639002413928,-0.11008275075453966,737.1008035062089,1434,86,1434,ChatGPT
2057,1439098,-9.441755635005283e-17,22.104896576841814,-0.10421889556043168,699.6101118133204,1434,86,1434,ChatGPT
659,421478,-8.01874608591346e-17,12.714175448312183,-0.1761359443484349,639.5720789074355,1434,86,1434,ChatGPT
1582,847846,-6.767725743089783e-17,13.821244220511675,-0.23271709140567917,535.9329962073325,1434,86,86,ChatGPT
412,253578,5.064886061246152e-18,7.615171153687331,-0.2036180260402351,615.4805825242719,1434,86,1434,ChatGPT
1502,1157428,1.8657811989453413e-17,19.175159900401976,-0.13851668272678352,770.5912117177097,1434,86,1434,ChatGPT
1587,1087830,1.4238295284284794e-16,23.99417747801687,-0.16654248347673228,685.4631379962193,1434,86,1434,ChatGPT
1982,973849,3.0211684856123485e-16,18.22603326790737,-0.21801510453824124,491.3466195761857,1434,86,86,ChatGPT
512,304259,-1.906498442482534e-17,17.15632281258774,-0.12072518737228224,594.255859375,1434,86,86,ChatGPT
927,762014,-1.541243734509329e-16,26.06473330419218,-0.11297758732205165,822.0215749730313,1434,86,1434,ChatGPT
3537,1481954,4.085627010162571e-17,36.97721829297589,-0.16909145303977555,418.9861464517953,1434,86,86,ChatGPT
1104,858374,8.488978634571545e-17,29.308692555329607,-0.09595878907400568,777.5126811594203,1434,86,1434,ChatGPT
1313,953966,1.7626482929071654e-16,14.397827196901945,-0.18494650047422798,726.5544554455446,1434,86,1434,ChatGPT
1042,832833,1.5893466498056096e-16,13.73939912400371,-0.2006441100078466,799.2639155470249,1434,86,1434,ChatGPT
1552,1170761,1.5783634876199035e-16,22.623264209046898,-0.13298343623674888,754.3563144329897,1434,86,1434,ChatGPT
1158,609851,1.8260625893359316e-16,16.210617840893768,-0.19705838220706967,526.6416234887738,1434,86,86,ChatGPT
867,573266,-1.2595775077300419e-17,22.587934300830682,-0.09259720239456568,661.20645905421,1434,86,1434,ChatGPT
733,408329,1.5508238287967522e-17,16.516656138669756,-0.1552936096064498,557.0654843110505,1434,86,86,ChatGPT
1221,964553,-2.3625227457417907e-16,18.147368344766505,-0.11571903139791535,789.969696969697,1434,86,1434,ChatGPT
1239,759424,5.3739995759824316e-17,27.35561683777835,-0.10361960011833117,612.9330104923325,1514,66,66,ChatGPT
1122,498032,4.795945581398145e-17,26.874364919475134,-0.10433104969362902,443.8787878787879,1514,66,66,ChatGPT
1305,663579,8.967349698515692e-17,28.819726733280113,-0.12668025610742487,508.4896551724138,1514,66,66,ChatGPT
1255,605148,9.008388577002367e-18,22.771170698632332,-0.11754178306416564,482.18964143426297,1514,66,66,ChatGPT
1152,617800,9.76629724094675e-18,26.764307842202463,-0.129173344744181,536.2847222222222,1514,66,66,ChatGPT
4684,2562172,-5.102450362480233e-17,56.219961053043995,-0.07760549751267426,547.00512382579,1514,66,66,ChatGPT
931,418791,5.730183352904034e-18,14.099407723324905,-0.17847684856992693,449.82921589688505,1514,66,66,ChatGPT
1824,935951,1.0847969076322326e-17,31.02394807321995,-0.08534529920949693,513.1310307017544,1514,66,66,ChatGPT
1910,1437125,-1.8310101703269918e-16,27.650425289739744,-0.08441329289018648,752.4214659685864,1514,66,1454,ChatGPT
1328,652603,-4.915267723943327e-19,22.55976733925443,-0.10906043954548097,491.417921686747,1514,66,66,ChatGPT
